date,d_gold,d_oil,vix,vix_thr,oil,oil_pctl,s1,s2,s3,npass,verdict,case
2020-03-31,0.2019,-0.7257,57.7368,19.4570,32.0114,0.0167,True,True,True,3,绿：回归逻辑可用（仍需分仓与确认）,2020-03 金油比（实际命中案例）
2014-12-31,-0.0173,-0.5748,16.2923,25.0304,62.3350,0.2167,True,False,True,2,黄：观察区，暂不触发,2014-12 金油比（实际失败案例）
2025-04-30,0.3225,-0.2776,31.9662,22.9397,68.1345,0.5250,False,True,False,1,黄：观察区，暂不触发,2025-04 金油比（当前轮触发）
2026-08-31,0.2698,0.2941,15.2295,22.5497,91.0760,0.8917,True,False,False,1,红：体制重定价候选，勿用回归逻辑,当前（2026-08 最新）
