date,gr,dr
2017-11-30,0.0016,-0.0024
2017-12-31,-0.0141,0.0073
2018-01-31,0.0516,0.0370
2018-02-28,0.0000,0.2174
2018-03-31,-0.0045,-0.0055
2018-04-30,0.0075,-0.0105
2018-05-31,-0.0243,0.0945
2018-06-30,-0.0162,-0.0411
2018-07-31,-0.0349,-0.0200
2018-08-31,-0.0295,0.0152
2018-09-30,-0.0033,0.0911
2018-10-31,0.0141,0.1598
2018-11-30,0.0049,0.0721
2018-12-31,0.0235,-0.0967
2019-01-31,0.0330,-0.0963
2019-02-28,0.0214,-0.1205
2019-03-31,-0.0145,-0.1414
2019-04-30,-0.0116,-0.0624
2019-05-31,-0.0016,-0.0271
2019-06-30,0.0568,-0.1946
2019-07-31,0.0390,-0.0676
2019-08-31,0.0598,-0.2664
2019-09-30,0.0073,0.0725
2019-10-31,-0.0106,0.0334
2019-11-30,-0.0162,0.0257
2019-12-31,0.0054,-0.0268
2020-01-31,0.0540,-0.1081
2020-02-29,0.0228,-0.1483
2020-03-31,-0.0031,-0.0052
2020-04-30,0.0556,-0.3289
2020-05-31,0.0194,0.0042
2020-06-30,0.0093,-0.1030
2020-07-31,0.0643,-0.2882
2020-08-31,0.0640,-0.1787
2020-09-30,-0.0242,0.0347
2020-10-31,-0.0115,0.0600
2020-11-30,-0.0181,0.0746
2020-12-31,-0.0043,-0.1402
2021-01-31,0.0048,-0.0182
2021-02-28,-0.0321,0.0784
2021-03-31,-0.0511,0.2578
2021-04-30,0.0242,-0.0502
2021-05-31,0.0499,-0.1325
2021-06-30,-0.0081,0.0234
2021-07-31,-0.0148,-0.1854
2021-08-31,-0.0128,-0.0565
2021-09-30,-0.0056,0.0960
2021-10-31,0.0011,0.0170
2021-11-30,0.0250,-0.1040
2021-12-31,-0.0177,0.0633
2022-01-31,0.0144,0.3077
2022-02-28,0.0218,0.1618
2022-03-31,0.0484,-0.1950
2022-04-30,-0.0057,0.5822
2022-05-31,-0.0465,0.3460
2022-06-30,-0.0065,0.3162
2022-07-31,-0.0583,0.0083
2022-08-31,0.0183,-0.1444
2022-09-30,-0.0488,0.7471
2022-10-31,-0.0102,0.4533
2022-11-30,0.0360,-0.0700
2022-12-31,0.0414,-0.1633
2023-01-31,0.0541,-0.0622
2023-02-28,-0.0229,0.1187
2023-03-31,0.0308,-0.0523
2023-04-30,0.0445,-0.1674
2023-05-31,-0.0040,0.1665
2023-06-30,-0.0249,0.1876
2023-07-31,0.0041,0.0554
2023-08-31,-0.0165,0.2296
2023-09-30,-0.0016,0.2044
2023-10-31,0.0000,0.3749
2023-11-30,0.0349,-0.2133
2023-12-31,0.0209,-0.3631
2024-01-31,0.0039,-0.0436
2024-02-29,-0.0054,0.1331
2024-03-31,0.0646,-0.0280
2024-04-30,0.0771,0.2480
2024-05-31,0.0085,0.0032
2024-06-30,-0.0107,-0.0982
2024-07-31,0.0305,-0.0759
2024-08-31,0.0296,-0.2132
2024-09-30,0.0401,-0.1449
2024-10-31,0.0452,0.1935
2024-11-30,-0.0146,0.2252
2024-12-31,-0.0011,0.0534
2025-01-31,0.0231,0.1405
2025-02-28,0.0660,-0.2018
2025-03-31,0.0299,-0.0806
2025-04-30,0.0758,0.0919
2025-05-31,0.0279,0.0724
2025-06-30,0.0132,-0.0240
2025-07-31,-0.0039,-0.0783
2025-08-31,0.0083,-0.1253
2025-09-30,0.0853,-0.1339
2025-10-31,0.1011,0.0078
2025-11-30,0.0070,0.0710
2025-12-31,0.0529,0.0713
2026-01-31,0.0981,0.0079
2026-02-28,0.0547,-0.0823
2026-03-31,-0.0332,0.0844
2026-04-30,-0.0282,0.0277
2026-05-31,-0.0288,0.1022
2026-06-30,-0.0815,0.1400
2026-07-31,-0.0373,0.1742
2026-08-31,0.0797,0.0439
